id,document,canton,year,n,form,frpos,frlemma,lang,list
w_FR_VD_2022_15803,FR_VD,VD,2022,15803,▪,ABR,▪,FR,lemmesTempsFR
w_FR_VD_2022_15805,FR_VD,VD,2022,15805,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15813,FR_VD,VD,2022,15813,lignes,NOM,ligne,FR,lemmesTempsFR
w_FR_VD_2022_15815,FR_VD,VD,2022,15815,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_15855,FR_VD,VD,2022,15855,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_VD_2022_15857,FR_VD,VD,2022,15857,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_16065,FR_VD,VD,2022,16065,prendre,VER:infi,prendre,FR,lemmesTempsFR
w_FR_VD_2022_16067,FR_VD,VD,2022,16067,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_16615,FR_VD,VD,2022,16615,accessibles,ADJ,accessible,FR,lemmesTempsFR
w_FR_VD_2022_16617,FR_VD,VD,2022,16617,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_16689,FR_VD,VD,2022,16689,loisirs,NOM,loisir,FR,lemmesTempsFR
w_FR_VD_2022_16691,FR_VD,VD,2022,16691,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_19558,FR_VD,VD,2022,19558,place,NOM,place,FR,lemmesTempsFR
w_FR_VD_2022_19560,FR_VD,VD,2022,19560,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_19622,FR_VD,VD,2022,19622,rendre,VER:infi,rendre,FR,lemmesTempsFR
w_FR_VD_2022_19624,FR_VD,VD,2022,19624,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_19635,FR_VD,VD,2022,19635,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_VD_2022_19637,FR_VD,VD,2022,19637,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_19748,FR_VD,VD,2022,19748,efficiente,ADJ,efficient,FR,lemmesTempsFR
w_FR_VD_2022_19750,FR_VD,VD,2022,19750,transports,NOM,transport,FR,lemmesTempsFR
w_FR_VD_2022_19890,FR_VD,VD,2022,19890,assurer,VER:infi,assurer,FR,lemmesTempsFR
