id,document,canton,year,n,form,depos,delemma,lang,list
w_DE_OW_1987_36184,DE_OW,OW,1987,36184,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_36856,DE_OW,OW,1987,36856,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_53066,DE_OW,OW,1987,53066,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_56178,DE_OW,OW,1987,56178,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_56219,DE_OW,OW,1987,56219,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_56238,DE_OW,OW,1987,56238,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_59984,DE_OW,OW,1987,59984,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_60924,DE_OW,OW,1987,60924,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_61195,DE_OW,OW,1987,61195,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_69872,DE_OW,OW,1987,69872,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_1987_79697,DE_OW,OW,1987,79697,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_4178,DE_LU,LU,2009,4178,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_4186,DE_LU,LU,2009,4186,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_4258,DE_LU,LU,2009,4258,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_6419,DE_LU,LU,2009,6419,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_22718,DE_LU,LU,2009,22718,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_25770,DE_LU,LU,2009,25770,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_26893,DE_LU,LU,2009,26893,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_44809,DE_LU,LU,2009,44809,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2009_66708,DE_LU,LU,2009,66708,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_18795,DE_SH,SH,2004,18795,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_31529,DE_SH,SH,2004,31529,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_64744,DE_SH,SH,2004,64744,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_65687,DE_SH,SH,2004,65687,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_74344,DE_SH,SH,2004,74344,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_90292,DE_SH,SH,2004,90292,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_105736,DE_SH,SH,2004,105736,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SH_2004_114904,DE_SH,SH,2004,114904,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2025_3570,DE_BS,BS,2025,3570,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2025_30285,DE_BS,BS,2025,30285,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2025_45454,DE_BS,BS,2025,45454,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2025_74237,DE_BS,BS,2025,74237,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_11285,DE_BE,BE,2024,11285,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_25661,DE_BE,BE,2024,25661,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_38442,DE_BE,BE,2024,38442,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_42446,DE_BE,BE,2024,42446,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_46343,DE_BE,BE,2024,46343,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_48259,DE_BE,BE,2024,48259,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_48270,DE_BE,BE,2024,48270,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_49377,DE_BE,BE,2024,49377,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_49412,DE_BE,BE,2024,49412,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_54874,DE_BE,BE,2024,54874,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_58535,DE_BE,BE,2024,58535,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_60684,DE_BE,BE,2024,60684,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_64010,DE_BE,BE,2024,64010,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_64654,DE_BE,BE,2024,64654,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2024_66544,DE_BE,BE,2024,66544,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_6913,DE_BE,BE,2004,6913,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_7115,DE_BE,BE,2004,7115,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_9257,DE_BE,BE,2004,9257,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_12629,DE_BE,BE,2004,12629,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_13639,DE_BE,BE,2004,13639,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_14409,DE_BE,BE,2004,14409,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_14622,DE_BE,BE,2004,14622,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_20011,DE_BE,BE,2004,20011,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_20040,DE_BE,BE,2004,20040,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_28303,DE_BE,BE,2004,28303,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_41609,DE_BE,BE,2004,41609,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_42300,DE_BE,BE,2004,42300,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_42674,DE_BE,BE,2004,42674,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_43576,DE_BE,BE,2004,43576,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_44216,DE_BE,BE,2004,44216,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_44227,DE_BE,BE,2004,44227,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_45165,DE_BE,BE,2004,45165,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_48106,DE_BE,BE,2004,48106,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_50822,DE_BE,BE,2004,50822,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2004_50838,DE_BE,BE,2004,50838,Kosten,NN,Kosten,DE,lemmesTempsDE
